,postcode,locality,Long_precise,Lat_precise,distance,duration
6659,3194,MENTONE EAST,145.0647654,-37.9812276,121727.7,6162.6
6660,3194,MOORABBIN AIRPORT,145.1017225,-37.9786237,Unknown,Unknown
6661,3195,ASPENDALE,145.104,-38.025,116370.0,6005.7
6662,3195,ASPENDALE GARDENS,145.118889,-38.022778,114611.1,5666.0
6663,3195,BRAESIDE,145.125,-38.0,115777.7,5568.7
6664,3195,MORDIALLOC,145.0940302,-37.9995418,118129.4,5820.6
6665,3195,MORDIALLOC NORTH,145.092,-37.9944,118888.4,5905.5
6666,3195,PARKDALE,145.08,-37.991,120213.3,6029.8
6667,3195,WATERWAYS,145.1305169,-38.0147634,114965.2,5753.9
6668,3196,BONBEACH,145.12,-38.062,112505.3,5794.5
6669,3196,CHELSEA,145.121944,-38.051111,112855.8,5670.8
6670,3196,CHELSEA HEIGHTS,145.137,-38.047,111642.8,5571.5
6671,3196,EDITHVALE,145.113,-38.037,115065.2,5763.7
6685,3202,HEATHERTON,145.0879338,-37.9529597,122964.2,6055.1
6686,3204,BENTLEIGH,145.0410079,-37.9224386,132441.1,6563.5
6687,3204,MCKINNON,145.039,-37.91,131699.8,6534.0
6688,3204,ORMOND,145.0410692,-37.902081,130493.1,6434.8
6689,3204,PATTERSON,145.0381432,-37.9259677,133058.6,6634.9
6690,3205,SOUTH MELBOURNE,144.963937,-37.8338889,138842.3,6711.4
6691,3205,SOUTH MELBOURNE DC,144.957,-37.8301,138807.8,6684.3
6692,3206,ALBERT PARK,144.9514536,-37.8438609,140676.4,6947.8
6693,3206,MIDDLE PARK,144.963056,-37.851944,138500.6,6985.6
6694,3207,GARDEN CITY,144.919805,-37.8366289,143635.3,7071.1
6695,3207,PORT MELBOURNE,144.9226452,-37.8315264,142565.5,7038.6
6696,3211,LITTLE RIVER,144.4561033,-37.9368044,Unknown,Unknown
7177,3335,BONNIE BROOK,144.66,-37.6914,175461.1,8364.2
7178,3335,GRANGEFIELDS,144.639,-37.7054,175096.3,8319.7
7179,3335,PLUMPTON,144.6630148,-37.6731215,177559.6,8465.1
7180,3335,ROCKBANK,144.652914,-37.7304579,173117.2,8243.3
7181,3335,THORNHILL PARK,144.624,-37.7457,177156.3,8390.9
7185,3337,HARKNESS,144.564,-37.6669,183659.9,8813.5
7186,3337,KURUNJANG,144.585,-37.672,181149.2,8728.3
7187,3337,MELTON,144.612,-37.677,180322.4,8607.8
7188,3337,MELTON WEST,144.5500157,-37.68298,182922.8,8680.3
7189,3337,TOOLERN VALE,144.593056,-37.608056,188638.3,8932.2
7190,3338,BROOKFIELD,144.5382417,-37.6999038,184842.9,8926.4
7191,3338,COBBLEBANK,144.602,-37.7062,178853.6,8479.6
7192,3338,EXFORD,144.5349356,-37.7185795,188618.8,9366.5
7193,3338,EYNESBURY,144.5640379,-37.7471636,183093.5,8696.7
7194,3338,MELTON SOUTH,144.571944,-37.703056,181470.1,8697.4
7195,3338,STRATHTULLOH,144.596,-37.7408,180543.6,8588.5
7196,3338,WEIR VIEWS,144.576,-37.732,183831.9,8759.8
7197,3340,BACCHUS MARSH,144.4463206,-37.6763789,193461.8,9174.3
7198,3340,BALLIANG,144.3840601,-37.8622199,202051.7,9953.5
7199,3340,BALLIANG EAST,144.4344864,-37.793087,199009.4,9751.2
7200,3340,COIMADAI,144.446526,-37.604118,202572.3,9583.9
7201,3340,DARLEY,144.437222,-37.654722,194929.7,9101.8
7202,3340,GLENMORE,144.3122204,-37.7128105,212630.5,10603.8
7203,3340,HOPETOUN PARK,144.5053764,-37.6978954,188165.3,8846.0
7204,3340,LONG FOREST,144.5053764,-37.65126,191067.5,8936.5
7205,3340,MADDINGLEY,144.4089115,-37.6837782,199942.9,9578.9
7206,3340,MERRIMU,144.4725244,-37.6585786,197179.9,9450.1
7207,3340,PARWAN,144.45,-37.716667,195498.4,9314.5
7208,3340,ROWSLEY,144.376119,-37.7216385,206727.4,9891.4
7209,3340,STAUGHTON VALE,144.282,-37.8397,215548.0,10788.3
7210,3341,DALES CREEK,144.3016359,-37.5236148,218545.4,10097.2
7211,3341,GREENDALE,144.316944,-37.566944,212364.9,9666.2
7212,3341,KOROBEIT,144.3412497,-37.5851686,210024.3,9591.8
7213,3341,MYRNIONG,144.333333,-37.616667,206620.5,9533.6
7214,3341,PENTLAND HILLS,144.3451301,-37.6344134,203490.9,9384.2
7658,3427,DIGGERS REST,144.6862995,-37.6153848,Unknown,Unknown
7659,3427,PLUMPTON,144.686,-37.6154,Unknown,Unknown
7660,3428,BULLA,144.7961441,-37.6342319,169978.1,8603.7
7661,3429,SUNBURY,144.713889,-37.581111,180791.4,9050.7
7662,3429,WILDWOOD,144.7935,-37.5718,177963.3,8913.6
7663,3430,CLARKEFIELD,144.8071366,-37.497542,190655.0,9727.4
